study_id,authors,year,joint,intervention,design,n,comparator,outcome_measure,direction,followup_months,quality,poolable,source_url,notes
1,Louw et al.,2019,TMJ,prolotherapy_dextrose,RCT,42,placebo/saline,pain & function,improved,12,moderate,yes,https://doi.org/10.1016/j.mayocp.2018.07.023,"TMD pain; long-term partial crossover. In Sit 2021 pain pool."
2,Cömert Kılıç,2016,TMJ,prolotherapy_dextrose,RCT,26,placebo/saline,VAS pain & MIO,none,12,moderate,yes,https://doi.org/10.1016/j.ijom.2016.01.006,"12 placebo/14 dextrose; NO sig difference vs placebo at 12 mo."
3,Refai et al.,2011,TMJ,prolotherapy_dextrose,RCT,12,placebo/saline,MMO/pain/luxation,improved,3,some/high RoB,partial,https://doi.org/10.1016/j.joms.2011.02.128,"6/6 per group; pain reported as ordinal % change -> NOT poolable as a mean; MMO poolable."
4,Mustafa et al.,2018,TMJ,prolotherapy_dextrose,RCT,40,control + 10/20/30% dextrose,VAS pain/MMO,mixed,1,some RoB,yes,https://doi.org/10.1097/SCS.0000000000004480,"Dose-comparison; ~9-10/arm. RAW VAS: 20%D 0.55+/-0.72 vs control 1.77+/-1.64 (n=9 each)."
5,Michalak et al.,2024,shoulder,prolotherapy_dextrose,case_series,NA,none,pain/function,improved,NA,low,no,https://doi.org/10.1177/11795441241264821,"Joint hypermobility; uncontrolled."
6,(SI-joint EDS study),2025,sacroiliac,prolotherapy_mixed,retrospective,10,none,VAS/Oswestry,improved,9,low,no,https://www.sciencedirect.com/science/article/abs/pii/S2212958825001363,"10 EDS patients; polidocanol/STS, some PRP; median VAS 5->2."
7,(PRP SI-joint study),2016,sacroiliac,PRP,case_series,NA,none,pain/function,improved,NA,low,no,https://pubmed.ncbi.nlm.nih.gov/27392848/,"Ultrasound-guided PRP for SI joint dysfunction; not EDS-specific."
8,Hackett-Hemwall series,NA,multiple,prolotherapy_dextrose,case_series,NA,none,pain/ADL,improved,NA,very-low,no,https://journalofprolotherapy.com/treatment-of-joint-hypermobility-syndrome-including-ehlers-danlos-syndrome-with-hackett-hemwall-prolotherapy/,"Journal of Prolotherapy (advocacy) - appraise critically."
9,Taşkesen & Cezairli,2020,TMJ,prolotherapy_dextrose,RCT,24,prolotherapy vs prolotherapy+arthrocentesis,MIO/pain/locking,improved,long-term,some RoB,no,https://doi.org/10.1080/08869634.2020.1861887,"Comparator is arthrocentesis (active), not placebo -> not in placebo pool. 12/12."
10,Medina-Porqueres et al.,2024,ankle,PRP,case_series,47,none,CAIT/Karlsson,improved,4,low,no,https://doi.org/10.3390/biomedicines12050963,"Chronic lateral ankle instability; single-arm pre/post. CAIT 10.26+/-4.33 -> 27.74+/-1.68; Karlsson 42.26+/-14.9 -> 96.45+/-4.28."
11,Hoffman & Agnish,2018,sacroiliac,prolotherapy_dextrose,retrospective,103,none,Oswestry (ODI),mixed,4,low,no,https://doi.org/10.1016/j.ctim.2018.01.014,"VA clinic; 15% dextrose x3. 24/103 (23%) reached clinically important improvement; pre-ODI 54+/-15."
